tpsf_id,tpsf_text,transformation_text,scope,impact,pre_sentential_pause,sentence_beginning,sentence_middle,sentence_end,bursts,pattern
0,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. ","Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. ",multi-sentence,pasting,,,,,[],"['full_sentence', 'full_sentence', 'full_sentence', 'full_sentence']"
,,,,,,,,,[],"['full_sentence', 'full_sentence', 'full_sentence', 'full_sentence']"
,,,,,,,,,[],"['full_sentence', 'full_sentence', 'full_sentence', 'full_sentence']"
,,,,,,,,,[],"['full_sentence', 'full_sentence', 'full_sentence', 'full_sentence']"
3,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen SS",Bei der Aneignung einer neuen SS,in-sentence transformation,append,4.338,Bei der Aneignung einer neuen SS,,,"[{'preceding_pause': 4.338, 'content': 'Bei der Aneignung einer neuen SS'}]",['sentence_beginning']
4,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen S",S,in-sentence transformation,deletion,,,S,,[],['sentence_middle']
5,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeldd ",prache fliessen die Sprache und das Umfeldd ,in-sentence transformation,append,,,prache fliessen die Sprache und das Umfeldd ,,"[{'preceding_pause': 0.45, 'content': 'prache fliessen die Sprache und das Umfeldd '}]",['sentence_middle']
6,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld",d ,in-sentence transformation,deletion,,,d ,,[],['sentence_middle']
7,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindilch ineinander. ", unvermeindilch ineinander. ,in-sentence transformation,append,,,, unvermeindilch ineinander. ,"[{'preceding_pause': 0.085, 'content': ' '}, {'preceding_pause': 2.19, 'content': 'unvermeindilch ineinander. '}]",['sentence_end']
8,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindch ineinander. ",il,in-sentence transformation,midletion,,,il,,[],['sentence_middle']
