tpsf_id,text_units_list,no_text_units
0,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,8
1,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,8
2,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,8
3,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,9
4,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,9
5,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,9
6,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,9
7,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,10
8,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,10
9,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,10
10,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
11,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
12,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
13,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
14,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
15,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
16,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
17,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
18,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
19,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
20,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,13
21,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,13
22,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,13
23,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,15
24,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,15
25,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,16
26,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,16
27,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,16
28,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,16
29,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,17
30,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,17
31,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,17
32,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,17
33,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,17
