sen_text,true_senoperations,predicted_senoperations
"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen.",production,production
Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten.,production,production
Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft.,production,production
Ich selbst bin bilingual aufgewachsen.,production,production
Bei der Aneignung einer neuen SS,production,production
Bei der Aneignung einer neuen S,pre-contextual_deletion,pre-contextual_deletion
Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeldd ,production,production
Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld,pre-contextual_deletion,pre-contextual_deletion
Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindilch ineinander.,production,production
Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindch ineinander.,contextual_deletion,contextual_deletion
Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander.,contextual_insertion,contextual_insertion
Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu der,production,production
Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu,pre-contextual_deletion,pre-contextual_deletion
"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, die ",production,production
"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, ",pre-contextual_deletion,pre-contextual_deletion
"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprace",production,production
"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprac",pre-contextual_deletion,pre-contextual_deletion
"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden.",production,production
Ich stee a,production,production
Ich st,pre-contextual_deletion,pre-contextual_deletion
Ich stehe also in direkter Rea,production,production
Ich stehe also in direkter Re,pre-contextual_deletion,pre-contextual_deletion
"Ich stehe also in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",production,production
"Ich stehe in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",contextual_deletion,contextual_deletion
"Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",contextual_insertion,contextual_insertion
All dies prägt m,production,production
All dies prägt,pre-contextual_deletion,pre-contextual_deletion
All dies prägte mich gleichermassen.,production,production
All dies prägt mich gleichermassen.,contextual_insertion,contextual_deletion,contextual_insertion
All dies prägtmich gleichermassen.,contextual_deletion,contextual_deletion
Um beim Aufbauei,production,production
Um beim Aufbau,pre-contextual_deletion,pre-contextual_deletion
Um beim Aufbau eines Lebens in einem anderssprachigen l,production,production
Um beim Aufbau eines Lebens in einem anderssprachigen ,pre-contextual_deletion,pre-contextual_deletion
"Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden seiner Herkunft und seinen Fähigkeiten auseinandersetzen.",production,production
"Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden, seiner Herkunft und seinen Fähigkeiten auseinandersetzen.",contextual_insertion,contextual_insertion
in die,production,production
,pre-contextual_deletion
In dies,production,production
In die,pre-contextual_deletion,pre-contextual_deletion
In diesem Konstrukt stellt die Sprachvermittlung einen essenziellen Aspekt dar.,production,production
Haupt,production,production
Haup,pre-contextual_deletion,pre-contextual_deletion
Hauptsächlich ,production,production
"Genauso wichtig ist es, wen ",production,production
"Genauso wichtig ist es, wen",pre-contextual_deletion,pre-contextual_deletion
"Genauso wichtig ist es, wenn mn",production,production
"Genauso wichtig ist es, wenn m",pre-contextual_deletion,pre-contextual_deletion
"Genauso wichtig ist es, wenn man versucht zu verstehen, wie jemand anderes etwas versteht.",production,production
"Genauso wichtig ist es, wenn man versuchzu verstehen, wie jemand anderes etwas versteht.",contextual_deletion,contextual_deletion
"Genauso wichtig ist es, wenn man versuchen zu verstehen, wie jemand anderes etwas versteht.",contextual_insertion,contextual_insertion
"Genauso wichtig ist es, versuchen zu verstehen, wie jemand anderes etwas versteht.",contextual_deletion,contextual_deletion
"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichtn",production,production
"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterricht",pre-contextual_deletion,pre-contextual_deletion
"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, so ",production,production
"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, ",pre-contextual_deletion,pre-contextual_deletion
"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache ",pre-contextual_deletion,production,pre-contextual_insertion
