sen_id,sen_text,MC,CC,SC,MR,GR
146291789691134179703931671335585229956,Eigentlich ist e ,,,,,GR
146291789691134179703931671335585229956,Eigentlich ist e,,,,,GR
146291789691134179703931671335585229956,Eigentlich ist es gerad ,,,SC,,GR
146291789691134179703931671335585229956,Eigentlich ist es gerad,,,SC,,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich so ungefähr in der Hälfte des Studiumsb",,,SC,,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich so ungefähr in der Hälfte des Studiums",,,SC,,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich so ungefähr in der Hälfte des Studiums bin, einmal zu reflektieren und zu überlegen, warum ich überhaupt im Studiengang 'Sprachliche Integratio",,,SC,,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich so ungefähr in der Hälfte des Studiums bin, einmal zu reflektieren und zu überlegen, warum ich überhaupt im Studiengang 'Sprachliche Integration' stdu",,,SC,,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich so ungefähr in der Hälfte des Studiums bin, einmal zu reflektieren und zu überlegen, warum ich überhaupt im Studiengang 'Sprachliche Integration' st",,,SC,,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich so ungefähr in der Hälfte des Studiums bin, einmal zu reflektieren und zu überlegen, warum ich überhaupt im Studiengang 'Sprachliche Integration' stujd",,,SC,,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich so ungefähr in der Hälfte des Studiums bin, einmal zu reflektieren und zu überlegen, warum ich überhaupt im Studiengang 'Sprachliche Integration' stu",,,SC,,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich so ungefähr in der Hälfte des Studiums bin, einmal zu reflektieren und zu überlegen, warum ich überhaupt im Studiengang 'Sprachliche Integration' studiere.",MC,CC,SC,MR,GR
146291789691134179703931671335585229956,"Eigentlich ist es gerade sehr passend, jetzt wo ich ungefähr in der Hälfte des Studiums bin, einmal zu reflektieren und zu überlegen, warum ich überhaupt im Studiengang 'Sprachliche Integration' studiere.",MC,CC,SC,MR,GR
146291843566284689403681234945471458436,Wenn ich mei,,,,,GR
146291843566284689403681234945471458436,Wenn ich meine bisherige  er,,,,,GR
146291843566284689403681234945471458436,Wenn ich meine bisherige  ,,,,MR,GR
146291843566284689403681234945471458436,Wenn ich meine bisherige  berufliche Laufbahn ber,,,,,GR
146291843566284689403681234945471458436,Wenn ich meine bisherige  berufliche Laufbahn be,,,,,GR
146291843566284689403681234945471458436,"Wenn ich meine bisherige  berufliche Laufbahn betrachte, mu",,,,,GR
146291843566284689403681234945471458436,Wenn ich meine bisherige  berufliche Laufbahn betrachte,,,,MR,GR
146291843566284689403681234945471458436,"Wenn ich meine bisherige  berufliche Laufbahn betrachte muss ich feststellen, dass ich sehr vielseitige Br",,,SC,,GR
146291843566284689403681234945471458436,"Wenn ich meine bisherige  berufliche Laufbahn betrachte muss ich feststellen, dass ich sehr vielseitige B",,,SC,,GR
146291843566284689403681234945471458436,"Wenn ich meine bisherige  berufliche Laufbahn betrachte muss ich feststellen, dass ich sehr vielseitige Berufserfahrungen m ",,,SC,,GR
146291843566284689403681234945471458436,"Wenn ich meine bisherige  berufliche Laufbahn betrachte muss ich feststellen, dass ich sehr vielseitige Berufserfahrungen machen durfte.",MC,CC,SC,,GR
146291894272308698532857294813599673476,Alle diese Erfahrungen hab,,,,,GR
146291894272308698532857294813599673476,Alle diese Erfahrungen haben mich schlussendlich zu ,,,SC,,GR
146291894272308698532857294813599673476,Alle diese Erfahrungen haben mich schlussendlich ,,,SC,,GR
146291894272308698532857294813599673476,"Alle diese Erfahrungen haben mich schlussendlich dazu gebracht, mit 30 nohc",,,SC,,GR
146291894272308698532857294813599673476,"Alle diese Erfahrungen haben mich schlussendlich dazu gebracht, mit 30 no",,,SC,,GR
146291894272308698532857294813599673476,"Alle diese Erfahrungen haben mich schlussendlich dazu gebracht, mit 30 noch",,,SC,,GR
146291894272308698532857294813599673476,"Alle diese Erfahrungen haben mich schlussendlich dazu gebracht, mit 30 noch zu studieren.",MC,CC,SC,MR,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich ",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und gross F",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und gross",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und grosse Freude an andereen",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und grosse Freude an andere",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und grosse Freude an anderen Sprachen, M",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und grosse Freude an anderen Sprachen",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und grosse Freude an anderen Sprachen ud",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und grosse Freude an anderen Sprachen u",,,SC,,GR
146291997268919967076496166420735110276,"Zuerst wollte ich eigentlich im Studiengang 'Angewandte Sprachen' studieren, da ich bilingual aufgewachsen bin und grosse Freude an anderen Sprachen und Kulturen habe.",MC,CC,SC,MR,GR
146292177909130499599185879700941876356,Da ich jedoch da,,,,,GR
146292177909130499599185879700941876356,Da ich jedoch ,,,,,GR
146292177909130499599185879700941876356,Da ich jedoch fi,,,,,GR
146292177909130499599185879700941876356,Da ich jedoch fiann,,,,,GR
146292177909130499599185879700941876356,Da ich jedoch fianziell darauf angewis,,,,,GR
146292177909130499599185879700941876356,Da ich jedoch fianziell darauf angewi,,,,,GR
146292177909130499599185879700941876356,Da ich jedoch fianziell darauf angewiesen bn,,,,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im S",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandt ",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandt",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachzen",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprach",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studirene",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studi",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden e",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden ",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden extrm",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden extr",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden extreme Flexibilit",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden extreme Flexibili",,,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium zu arbeiten, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden extreme Flexibilität verlangt.",MC,CC,SC,,GR
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium a, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden extreme Flexibilität verlangt.",MC,,SC,,
146292177909130499599185879700941876356,"Da ich jedoch fianziell darauf angewiesen bin, neben dem Studium arbeiten zu können, war ein Teilzeitstudium im Studiengang 'Angewandte Sprachen' nicht möglich, da es von den Studierenden extreme Flexibilität verlangt.",MC,CC,SC,,GR
146292318935259774989706796209173474436,So hab eich ,,,,,GR
146292318935259774989706796209173474436,So hab,,,,,GR
146292318935259774989706796209173474436,So habe ich witer ,,,SC,,GR
146292318935259774989706796209173474436,So habe ich w,,,SC,,GR
146292318935259774989706796209173474436,"So habe ich weiter recherchiet,",,,SC,,GR
146292318935259774989706796209173474436,So habe ich weiter recherchie,,,SC,,GR
146292318935259774989706796209173474436,"So habe ich weiter recherchiert, was es noch für Möglichkeiten gäb ",,,SC,,GR
146292318935259774989706796209173474436,"So habe ich weiter recherchiert, was es noch für Möglichkeiten gäbe und bin auf den Studiengang 'Sprachlice",,,SC,,GR
146292318935259774989706796209173474436,"So habe ich weiter recherchiert, was es noch für Möglichkeiten gäbe und bin auf den Studiengang 'Sprachlic",,,SC,,GR
146292318935259774989706796209173474436,"So habe ich weiter recherchiert, was es noch für Möglichkeiten gäbe und bin auf den Studiengang 'Sprachliche Integration' gestossn",,,SC,,GR
146292318935259774989706796209173474436,"So habe ich weiter recherchiert, was es noch für Möglichkeiten gäbe und bin auf den Studiengang 'Sprachliche Integration' gestoss",,,SC,,GR
146292318935259774989706796209173474436,"So habe ich weiter recherchiert, was es noch für Möglichkeiten gäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.",MC,CC,SC,MR,GR
146292318935259774989706796209173474436,So hgäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich andgäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach andgäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeitn gäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeitgäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeite gäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeitegäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeiten recherigäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeiten rechergäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeiten rechercigäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeiten rechercgäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeiten recherchiert gäbe und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,,
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeiten recherchiert und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,,SC,MR,GR
146292318935259774989706796209173474436,So habe ich nach anderen Möglichkeiten recherchiert  und bin auf den Studiengang 'Sprachliche Integration' gestossen.,MC,CC,SC,MR,GR
146292400540267164681974517559442320516,Ichw,,,,,GR
146292400540267164681974517559442320516,Ich,,,,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die im ",,,SC,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die i",,,SC,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die in diese ",,,SC,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die in diesem Studium behandelt werden und auch der s",,,SC,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die in diesem Studium behandelt werden und auch der sz",,,SC,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die in diesem Studium behandelt werden und auch der s",,,SC,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die in diesem Studium behandelt werden und auch der soziale Aspekt gefiel mir ",,,SC,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die in diesem Studium behandelt werden und auch der soziale Aspekt gef",,,SC,,GR
146292400540267164681974517559442320516,"Ich war sofort begeistert von den Themen, die in diesem Studium behandelt werden und auch der soziale Aspekt gefällt mir sehr gut.",MC,CC,SC,MR,GR
146292698438158218315883869284695583876,"Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven, die dieser Studiengang ermöglicht, sind genau das, was ich i ",,,SC,,GR
146292698438158218315883869284695583876,"Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven, die dieser Studiengang ermöglicht, sind genau das, was ich i",,,SC,,GR
146292698438158218315883869284695583876,"Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven, die dieser Studiengang ermöglicht, sind genau das, was ich im Leben machen möct",,,SC,,GR
146292698438158218315883869284695583876,"Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven, die dieser Studiengang ermöglicht, sind genau das, was ich im Leben machen möc",,,SC,,GR
146292698438158218315883869284695583876,"Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven, die dieser Studiengang ermöglicht, sind genau das, was ich im Leben machen möchte.",MC,CC,SC,MR,GR
146292698438158218315883869284695583876,"Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven, di ",,,SC,,GR
146292698438158218315883869284695583876,Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven ,,,SC,,GR
146292698438158218315883869284695583876,Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven f ,,,SC,,GR
146292698438158218315883869284695583876,Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven  ,,,SC,,GR
146292698438158218315883869284695583876,Ich habe schon immer gern Wissen weitergegeben und die beruflichen Perspektiven gefallen mir sehr gut.,MC,CC,SC,MR,GR
146292728544859973736332154831396711556,Imr,,,,,GR
146292728544859973736332154831396711556,Im,,,,,GR
146292728544859973736332154831396711556,Immerhin verbringt man doch die meiste Zeit seines Lebens mit ,,,SC,,GR
146292728544859973736332154831396711556,Immerhin verbringt man doch die meiste Zeit seines Lebens mit arb,,,SC,,GR
146292728544859973736332154831396711556,Immerhin verbringt man doch die meiste Zeit seines Lebens mit ,,,SC,,GR
146292728544859973736332154831396711556,Immerhin verbringt man doch die meiste Zeit seines Lebens mit Arbeiten und da find ic,,,SC,,GR
146292728544859973736332154831396711556,Immerhin verbringt man doch die meiste Zeit seines Lebens mit Arbeiten und da find,,,SC,,GR
146292728544859973736332154831396711556,"Immerhin verbringt man doch die meiste Zeit seines Lebens mit Arbeiten und da finde ich, o",,,SC,,GR
146292728544859973736332154831396711556,"Immerhin verbringt man doch die meiste Zeit seines Lebens mit Arbeiten und da finde ich, ",,,SC,,GR
146292728544859973736332154831396711556,"Immerhin verbringt man doch die meiste Zeit seines Lebens mit Arbeiten und da finde ich, lohnt ",,,SC,,GR
