revision_id,transformation class,impacted sentence part,impacted sentence part.1,impacted sentence part.2,impacted sentence part.3,ts_text,ts_label,affected_tus
0,multi_sentence,com_sen,com_sen,com_sen,com_sen,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. ",pasting,"['Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen.', ' ', 'Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten.', ' ', 'Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft.', ' ', 'Ich selbst bin bilingual aufgewachsen.', ' ']"
1,in_sentence,sen_start,,,, ,append,['  ']
2,in_sentence,sen_start,,,, ,deletion,[' ']
3,in_sentence,sen_start,,,,Bei der Aneignung einer neuen SS,append,['Bei der Aneignung einer neuen SS']
4,in_sentence,sen_middle,,,,S,deletion,['Bei der Aneignung einer neuen S']
5,in_sentence,sen_middle,,,,prache fliessen die Sprache und das Umfeldd ,append,['Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeldd ']
6,in_sentence,sen_middle,,,,d ,deletion,['Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld']
7,in_sentence,sen_end,,,, unvermeindilch ineinander. ,append,"['Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindilch ineinander.', ' ']"
8,in_sentence,sen_middle,,,,il,midletion,['Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindch ineinander.']
9,in_sentence,sen_middle,,,,li,insertion,['Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander.']
10,in_sentence,sen_start,,,,Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu der,append,['Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu der']
11,in_sentence,sen_middle,,,, der,deletion,['Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu']
12,in_sentence,sen_middle,,,,"r Sprache als Kinder, die ",append,"['Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, die ']"
13,in_sentence,sen_middle,,,,die ,deletion,"['Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, ']"
14,in_sentence,sen_middle,,,,welche ausschliesslich mit ihrer Muttersprace,append,"['Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprace']"
15,in_sentence,sen_middle,,,,e,deletion,"['Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprac']"
16,cross_sentence,sen_end,sen_start,,,he konfrontiert wurden. Ich stee a,append,"['Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden.', ' ', 'Ich stee a']"
17,in_sentence,sen_middle,,,,ee a,deletion,['Ich st']
18,in_sentence,sen_middle,,,,ehe also in direkter Rea,append,['Ich stehe also in direkter Rea']
19,in_sentence,sen_middle,,,,a,deletion,['Ich stehe also in direkter Re']
20,in_sentence,sen_end,,,,"lation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",append,"['Ich stehe also in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.']"
21,in_sentence,sen_middle,,,,also ,midletion,"['Ich stehe in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.']"
22,in_sentence,sen_middle,,,,somit ,insertion,"['Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.']"
23,in_sentence,sen_start,,,, All dies prägt m,append,"[' ', 'All dies prägt m']"
24,in_sentence,sen_middle,,,, m,deletion,['All dies prägt']
25,in_sentence,sen_end,,,,e mich gleichermassen. ,append,"['All dies prägte mich gleichermassen.', ' ']"
26,in_sentence,sen_middle,,,,e,midletion,['All dies prägt mich gleichermassen.']
27,in_sentence,sen_middle,,,,,replacement,['All dies prägtmich gleichermassen.']
28,in_sentence,sen_middle,,,, ,insertion,['All dies prägt mich gleichermassen.']
29,in_sentence,sen_start,,,,Um beim Aufbauei,append,['Um beim Aufbauei']
30,in_sentence,sen_middle,,,,ei,deletion,['Um beim Aufbau']
31,in_sentence,sen_middle,,,, eines Lebens in einem anderssprachigen l,append,['Um beim Aufbau eines Lebens in einem anderssprachigen l']
32,in_sentence,sen_middle,,,,l,deletion,['Um beim Aufbau eines Lebens in einem anderssprachigen ']
33,in_sentence,sen_end,,,,"Land Unterstützung zu bieten, muss man sich mit dem Lernenden seiner Herkunft und seinen Fähigkeiten auseinandersetzen.",append,"['Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden seiner Herkunft und seinen Fähigkeiten auseinandersetzen.']"
34,in_sentence,sen_middle,,,,",",insertion,"['Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden, seiner Herkunft und seinen Fähigkeiten auseinandersetzen.']"
35,in_sentence,sen_start,,,,  in die,append,"['  ', 'in die']"
36,in_sentence,sen_start,,,,in die,deletion,[]
37,in_sentence,sen_start,,,,In dies,append,['In dies']
38,in_sentence,sen_middle,,,,s,deletion,['In die']
39,cross_sentence,sen_end,sen_start,,,sem Konstrukt stellt die Sprachvermittlung einen essenziellen Aspekt dar. Haupt,append,"['In diesem Konstrukt stellt die Sprachvermittlung einen essenziellen Aspekt dar.', ' ', 'Haupt']"
40,in_sentence,sen_middle,,,,t,deletion,['Haup']
41,in_sentence,sen_middle,,,,tsächlich ,append,['Hauptsächlich ']
42,in_sentence,sen_start,,,,Hauptsächlich ,deletion,[]
43,in_sentence,sen_start,,,,"Genauso wichtig ist es, wen ",append,"['Genauso wichtig ist es, wen ']"
44,in_sentence,sen_middle,,,, ,deletion,"['Genauso wichtig ist es, wen']"
45,in_sentence,sen_middle,,,,n mn,append,"['Genauso wichtig ist es, wenn mn']"
46,in_sentence,sen_middle,,,,n,deletion,"['Genauso wichtig ist es, wenn m']"
47,in_sentence,sen_end,,,,"an versucht zu verstehen, wie jemand anderes etwas versteht.",append,"['Genauso wichtig ist es, wenn man versucht zu verstehen, wie jemand anderes etwas versteht.']"
48,in_sentence,sen_middle,,,,t ,midletion,"['Genauso wichtig ist es, wenn man versuchzu verstehen, wie jemand anderes etwas versteht.']"
49,in_sentence,sen_middle,,,,en ,insertion,"['Genauso wichtig ist es, wenn man versuchen zu verstehen, wie jemand anderes etwas versteht.']"
50,in_sentence,sen_middle,,,,wenn man ,midletion,"['Genauso wichtig ist es, versuchen zu verstehen, wie jemand anderes etwas versteht.']"
51,in_sentence,sen_start,,,," Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichtn",append,"[' ', 'Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichtn']"
52,in_sentence,sen_middle,,,,n,deletion,"['Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterricht']"
53,in_sentence,sen_middle,,,,"en und vermitteln weiss, so ",append,"['Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, so ']"
54,in_sentence,sen_middle,,,,so ,deletion,"['Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, ']"
55,in_sentence,sen_middle,,,,wird das Lernen einer neuen Sprache ,append,"['Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache ']"
56,in_sentence,sen_middle,,,,extr,insertion,"['Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nichtextr zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache ']"
57,in_sentence,sen_middle,,,,extr,midletion,"['Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache ']"
58,cross_sentence,sen_end,sen_start,,,extrem schwer. Wenn man diese wichtigen Aspekte in Angriff genommen hat,append,"['Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache extrem schwer.', ' ', 'Wenn man diese wichtigen Aspekte in Angriff genommen hat']"
59,in_sentence,sen_middle,,,,Aspekte,midletion,['Wenn man diese wichtigen  in Angriff genommen hat']
60,in_sentence,sen_middle,,,,Punkte,insertion,['Wenn man diese wichtigen Punkte in Angriff genommen hat']
61,in_sentence,sen_middle,,,,", befindet man sich mitten in der Integration u",append,"['Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration u']"
62,in_sentence,sen_middle,,,,u,deletion,"['Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration ']"
63,cross_sentence,sen_end,sen_start,,,"und damit im Prozess der Aufnahme in die Gesellschaft. Mit diesem Studium habe ich die Chance, etwas zu ",append,"['Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration und damit im Prozess der Aufnahme in die Gesellschaft.', ' ', 'Mit diesem Studium habe ich die Chance, etwas zu ']"
64,in_sentence,sen_middle,,,,zu ,deletion,"['Mit diesem Studium habe ich die Chance, etwas ']"
65,in_sentence,sen_end,,,,"das mich bereits mein Leben lang begleitet, in meinen Beruf umzuwndeln.",append,"['Mit diesem Studium habe ich die Chance, etwas das mich bereits mein Leben lang begleitet, in meinen Beruf umzuwndeln.']"
66,in_sentence,sen_middle,,,,",",insertion,"['Mit diesem Studium habe ich die Chance, etwas, das mich bereits mein Leben lang begleitet, in meinen Beruf umzuwndeln.']"
67,in_sentence,sen_start,,,, Vor allem möchte ich mir die Fähigkeiten und Fertigkeiten,append,"[' ', 'Vor allem möchte ich mir die Fähigkeiten und Fertigkeiten']"
