sen_id,tpsf_id,sen_pos_in_text,sen_text
320630286301830836820090494318219144324,0,1,|Wha |
320630286301830836820090494318219144324,1,1,|Wha|
320630286301830836820090494318219144324,2,1,|What |

320630310862561216242035148316843748484,4,1,|What made me dei|
320630310862561216242035148316843748484,5,1,|What made me de|
320630310862561216242035148316843748484,6,1,|What made me decide to study langugan|
320630310862561216242035148316843748484,7,1,|What made me decide to study langu|
320630310862561216242035148316843748484,8,1,|What made me decide to study languang|
320630310862561216242035148316843748484,9,1,|What made me decide to study langua|
320630310862561216242035148316843748484,10,1,|What made me decide to study language and integration?|

320630322746785593381685787348436298884,10,2,|I've always been e|
320630322746785593381685787348436298884,11,2,|I've always been |
320630322746785593381685787348436298884,12,2,|I've always been really interested in languages.|

320630330669601844808119546702831332484,12,3,|During my schi|
320630330669601844808119546702831332484,13,3,|During my sch|
320630330669601844808119546702831332484,14,3,|During my school time I alwaxs |
320630330669601844808119546702831332484,15,3,|During my school time I alwax|
320630330669601844808119546702831332484,16,3,|During my school time I alwaxy|
320630330669601844808119546702831332484,17,3,|During my school time I alwa|
320630330669601844808119546702831332484,18,3,|During my school time I always prefered the sub|
320630330669601844808119546702831332484,19,3,|During my school time I always prefered |
320630330669601844808119546702831332484,20,3,|During my school time I always prefered language subjetcts^^|
320630330669601844808119546702831332484,21,3,|During my school time I always prefered language subje|
320630330669601844808119546702831332484,22,3,|During my school time I always prefered language subjects like gera|
320630330669601844808119546702831332484,23,3,|During my school time I always prefered language subjects like |
320630330669601844808119546702831332484,24,3,"|During my school time I always prefered language subjects like German, English, Frensc|"
320630330669601844808119546702831332484,25,3,"|During my school time I always prefered language subjects like German, English, Fren|"
320630330669601844808119546702831332484,26,3,"|During my school time I always prefered language subjects like German, English, French or Spanus|"
320630330669601844808119546702831332484,27,3,"|During my school time I always prefered language subjects like German, English, French or Span|"
320630330669601844808119546702831332484,28,3,"|During my school time I always prefered language subjects like German, English, French or Spanish.|"

320630380583344228794652230635520044164,28,4,|I like |

320630389298442105363729365925354581124,30,4,"|It was always clear for me, how importn|"
320630389298442105363729365925354581124,31,4,"|It was always clear for me, how import|"
320630389298442105363729365925354581124,32,4,"|It was always clear for me, how important language is and what kind of big impact is |"
320630389298442105363729365925354581124,33,4,"|It was always clear for me, how important language is and what kind of big impact i|"
320630389298442105363729365925354581124,34,4,"|It was always clear for me, how important language is and what kind of big impact it has on the daily life.|"

320630405936356233359240260569584151684,34,5,"|Because of the fact, that I love languages I also e|"
320630405936356233359240260569584151684,35,5,"|Because of the fact, that I love languages I also |"
320630405936356233359240260569584151684,36,5,"|Because of the fact, that I love languages I also read a lot.|"

320630417028298985356247523665737198724,36,6,|I |

320630428120241737353254786761890245764,38,6,|Since a|
320630428120241737353254786761890245764,39,6,|Since |
320630428120241737353254786761890245764,40,6,"|Since I was a child I read about different cultures, countries and languages.|"

320630440796747739635548801728922299524,40,7,|I do have a big knowledge about different c|
320630440796747739635548801728922299524,41,7,|I do have a big knowledge about different |
320630440796747739635548801728922299524,42,7,|I do have a big knowledge about different cultures and I was alway |
320630440796747739635548801728922299524,43,7,|I do have a big knowledge about different cultures and I was alway|
320630440796747739635548801728922299524,44,7,|I do have a big knowledge about different cultures and I was always really intee|
320630440796747739635548801728922299524,45,7,|I do have a big knowledge about different cultures and I was always really inte|
320630440796747739635548801728922299524,46,7,|I do have a big knowledge about different cultures and I was always really interested in learnig|
320630440796747739635548801728922299524,47,7,|I do have a big knowledge about different cultures and I was always really interested in learni|
320630440796747739635548801728922299524,48,7,|I do have a big knowledge about different cultures and I was always really interested in learning even more |
320630440796747739635548801728922299524,49,7,|I do have a big knowledge about different cultures and I was always really interested in learning even more|
320630440796747739635548801728922299524,50,7,|I do have a big knowledge about different cultures and I was always really interested in learning even more.|

320630502594714500761732124693203561604,50,8,|From my hoby|
320630502594714500761732124693203561604,51,8,|From my hob|
320630502594714500761732124693203561604,52,8,|From my hobby arose a great intre|
320630502594714500761732124693203561604,53,8,|From my hobby arose a great int|
320630502594714500761732124693203561604,54,8,|From my hobby arose a great interest not only for cultures and |
320630502594714500761732124693203561604,55,8,|From my hobby arose a great interest not only for cultures |
320630502594714500761732124693203561604,56,8,|From my hobby arose a great interest not only for cultures but even|
320630502594714500761732124693203561604,57,8,|From my hobby arose a great interest not only for cultures but |
320630502594714500761732124693203561604,58,8,|From my hobby arose a great interest not only for cultures but also für|
320630502594714500761732124693203561604,59,8,|From my hobby arose a great interest not only for cultures but also f|
320630502594714500761732124693203561604,60,8,|From my hobby arose a great interest not only for cultures but also for refugee policy.|

320630573900060763599635958882758864004,60,9,|I was s|
320630573900060763599635958882758864004,61,9,|I was |
320630573900060763599635958882758864004,62,9,|I was and still am really int|
320630573900060763599635958882758864004,63,9,|I was and still am really in|
320630573900060763599635958882758864004,64,9,|I was and still am really invested in teh|
320630573900060763599635958882758864004,65,9,|I was and still am really invested in t|
