tpsf_id,text_units_list,no_text_units
0,SEC,1
1,SEC,1
2,SEC,1
3,SEC,1
4,SEC,1
5,SEC,1
6,SEC,1
7,SEC,1
8,SEC,1
9,SEC,1
10,SEN-PIN-SEC,3
11,SEN-PIN-SEC,3
12,SEN-PIN-SEN-SIN-SEC,5
13,SEN-PIN-SEN-SIN-SEC,5
14,SEN-PIN-SEN-SIN-SEC,5
15,SEN-PIN-SEN-SIN-SEC,5
16,SEN-PIN-SEN-SIN-SEC,5
17,SEN-PIN-SEN-SIN-SEC,5
18,SEN-PIN-SEN-SIN-SEC,5
19,SEN-PIN-SEN-SIN-SEC,5
20,SEN-PIN-SEN-SIN-SEC,5
21,SEN-PIN-SEN-SIN-SEC,5
22,SEN-PIN-SEN-SIN-SEC,5
23,SEN-PIN-SEN-SIN-SEC,5
24,SEN-PIN-SEN-SIN-SEC,5
25,SEN-PIN-SEN-SIN-SEC,5
26,SEN-PIN-SEN-SIN-SEC,5
27,SEN-PIN-SEN-SIN-SEC,5
28,SEN-PIN-SEN-SIN-SEN-SIN-SEC,7
29,SEN-PIN-SEN-SIN-SEN-SIN,6
30,SEN-PIN-SEN-SIN-SEN-SIN-SEC,7
31,SEN-PIN-SEN-SIN-SEN-SIN-SEC,7
32,SEN-PIN-SEN-SIN-SEN-SIN-SEC,7
33,SEN-PIN-SEN-SIN-SEN-SIN-SEC,7
34,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,9
35,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,9
36,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
37,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,10
38,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
39,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
40,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
41,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
42,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
43,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
44,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
45,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
46,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
47,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
48,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
49,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
50,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,15
51,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,15
52,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,15
53,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,15
54,SEN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,15
