sen_id,tpsf_id,sen_pos_in_text,sen_text
107365715971416962785680501243794205828,0,1,|Depuis|

107365763508314471344283057370164407428,2,1,|Depuis le|
107365763508314471344283057370164407428,3,1,|Depuis l|
107365763508314471344283057370164407428,4,1,"|Depuis la fin du dix-neuvième siècle, des généticiens ont cherché à |"
107365763508314471344283057370164407428,5,1,"|Depuis la fin du dix-neuvième siècle, il y eut toujours des généticiens ont cherché à |"
107365763508314471344283057370164407428,6,1,"|Depuis la fin du dix-neuvième siècle, il y eut toujours des généticiens qui ont cherché à |"
107365763508314471344283057370164407428,7,1,"|Depuis la fin du dix-neuvième siècle, il y eut toujours des généticiens qui ont cherché à faire de la manipulation génétique.|"

107365895819345870165726838588561468548,7,2,|Des avancées |
107365895819345870165726838588561468548,8,2,|Des|
107365895819345870165726838588561468548,9,2,|Des avn|
107365895819345870165726838588561468548,10,2,|Des av|
107365895819345870165726838588561468548,11,2,"|Des avancées scientifiques dans les domaines du clonage génétique, du |"
107365895819345870165726838588561468548,12,2,"|Des avancées scientifiques dans les domaines du clonage génétique, d|"
107365895819345870165726838588561468548,13,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN |"
107365895819345870165726838588561468548,14,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN|"
107365895819345870165726838588561468548,15,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainis|"
107365895819345870165726838588561468548,16,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ain|"
107365895819345870165726838588561468548,17,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainsi qu'une abondance d'information sur la reproduction de diverses espèces |"
107365895819345870165726838588561468548,18,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainsi qu'une abondance d'information sur la reproduction de diverses espèces|"
107365895819345870165726838588561468548,19,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainsi qu'une abondance d'information sur la reproduction de diverses espèces, ont annoncé une nouvelle ère d'introduction d'Adn étrangère dans |"
107365895819345870165726838588561468548,20,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainsi qu'une abondance d'information sur la reproduction de diverses espèces, ont annoncé une nouvelle ère d'introduction d'A étrangère dans |"
107365895819345870165726838588561468548,21,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainsi qu'une abondance d'information sur la reproduction de diverses espèces, ont annoncé une nouvelle ère d'introduction d'ADN étrangère dans |"
107365895819345870165726838588561468548,22,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainsi qu'une abondance d'information sur la reproduction de diverses espèces, ont annoncé une nouvelle ère d'introduction d'ADN étrang dans |"
107365895819345870165726838588561468548,23,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainsi qu'une abondance d'information sur la reproduction de diverses espèces, ont annoncé une nouvelle ère d'introduction d'ADN étranger dans |"
107365895819345870165726838588561468548,24,2,"|Des avancées scientifiques dans les domaines du clonage génétique, de l'imagerie chromosomale et du séquençage de l'ADN, ainsi qu'une abondance d'information sur la reproduction de diverses espèces, ont annoncé une nouvelle ère d'introduction d'ADN étranger dans les chromosomes d'une espèce cible.|"

107368610176193608861932793404299979908,24,3,|Cette technologie |
107368610176193608861932793404299979908,25,3,|Cette technologie|
107368610176193608861932793404299979908,26,3,"|Cette technologie, mieux connue sous le nom |"
107368610176193608861932793404299979908,27,3,"|Cette technologie,  connue sous le nom |"
107368610176193608861932793404299979908,28,3,"|Cette technologie, aussi connue sous le nom |"
107368610176193608861932793404299979908,29,3,"|Cette technologie, aussi connue sous le nom de transgène animale|"
107368610176193608861932793404299979908,30,3,"|Cette technologie, aussi connue sous le nom de technologie de  transgène animale|"
107368610176193608861932793404299979908,31,3,"|Cette technologie, aussi connue sous le nom de technologie de transgène animale|"
107368610176193608861932793404299979908,32,3,"|Cette technologie, aussi connue sous le nom de technologie de transgène animale, est maintenant la méthode la |"
107368610176193608861932793404299979908,33,3,"|Cette technologie, aussi connue sous le nom de technologie de transgène animale, est maintenant la méthode |"
107368610176193608861932793404299979908,34,3,"|Cette technologie, aussi connue sous le nom de technologie de transgène animale, est maintenant la méthode d'introduction d'ADN étranger dans un génome cible la plus utilisée.|"

107371700866813290313742317553802587268,34,4,|On utilise régulièrement des souris pour cela parce qu'elles sont régulièrement peu coûteuses |
107371700866813290313742317553802587268,35,4,|On utilise régulièrement des souris pour cela parce qu'elles sont rement peu coûteuses |
107371700866813290313742317553802587268,36,4,|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses |
107371700866813290313742317553802587268,37,4,|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses|
107371700866813290313742317553802587268,38,4,"|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses, qu'on peut facilement les |"
107371700866813290313742317553802587268,39,4,"|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses, qu'on peut facilement |"
107371700866813290313742317553802587268,40,4,"|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses, qu'on peut facilement en faire l'élevage et qu'on posse`|"
107371700866813290313742317553802587268,41,4,"|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses, qu'on peut facilement en faire l'élevage et qu'on poss|"
107371700866813290313742317553802587268,42,4,"|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses, qu'on peut facilement en faire l'élevage et qu'on possède une grande connaissance sur leurs gènes |"
107371700866813290313742317553802587268,43,4,"|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses, qu'on peut facilement en faire l'élevage et qu'on possède une grande connaissance sur leurs gènes|"
107371700866813290313742317553802587268,44,4,"|On utilise régulièrement des souris pour cela parce qu'elles sont relativement peu coûteuses, qu'on peut facilement en faire l'élevage et qu'on possède une grande connaissance sur leurs gènes.|"

107378517657916017617348866075289496708,44,5,"|De plus, on considère la manipulaton |"
107378517657916017617348866075289496708,45,5,"|De plus, on considère la manipulat|"
107378517657916017617348866075289496708,46,5,"|De plus, on considère la manipulation |"
107378517657916017617348866075289496708,47,5,"|De plus, on considère la  micromanipulation |"
107378517657916017617348866075289496708,48,5,"|De plus, on considère lamicromanipulation |"
107378517657916017617348866075289496708,49,5,"|De plus, on considère la micromanipulation |"
107378517657916017617348866075289496708,50,5,"|De plus, on considère la micromanipulation d'embru=|"
107378517657916017617348866075289496708,51,5,"|De plus, on considère la micromanipulation d'embr|"
107378517657916017617348866075289496708,52,5,"|De plus, on considère la micromanipulation d'embryons unicellulaires |"
107378517657916017617348866075289496708,53,5,"|De plus, on considère la micromanipulation d'embryons de souris unicellulaires |"
107378517657916017617348866075289496708,54,5,"|De plus, on considère la micromanipulation d'embryons de souris unicellulaires relativement facile, techniquement parlant, en comparaison à d'autres espèces.|"

107388055936401109900951752831470447748,54,6,|On peut introduire de l'ADN étranger dans le génome de souris de trois différentes manières.|

107388060690090860756812008444107467908,54,7,|La première méthoe|
107388060690090860756812008444107467908,55,7,|La première métho|
107388060690090860756812008444107467908,56,7,|La première méthode requière l'utilisation de réyto|
107388060690090860756812008444107467908,57,7,|La première méthode requière l'utilisation de ré|
107388060690090860756812008444107467908,58,7,|La première méthode requière l'utilisation de rétrovirus infectant les enbryons a|
107388060690090860756812008444107467908,59,7,|La première méthode requière l'utilisation de rétrovirus infectant les enbryons |
107388060690090860756812008444107467908,60,7,|La première méthode requière l'utilisation de rétrovirus infectant les enbryons à différents stades du|
107388060690090860756812008444107467908,61,7,|La première méthode requière l'utilisation de rétrovirus infectant les enbryons à différents stades d|
107388060690090860756812008444107467908,62,7,|La première méthode requière l'utilisation de rétrovirus infectant les enbryons à différents stades de leu |
107388060690090860756812008444107467908,63,7,|La première méthode requière l'utilisation de rétrovirus infectant les enbryons à différents stades de leu|
107388060690090860756812008444107467908,64,7,|La première méthode requière l'utilisation de rétrovirus infectant les enbryons à différents stades de leur développen|
107388060690090860756812008444107467908,65,7,|La première méthode requière l'utilisation de rétrovirus infectant les enbryons à différents stades de leur développe|
