sen_id,tpsf_id,sen_pos_in_text,sen_text
36116345197677011848644160677746093188,0,1,|Un certain nombre d'étudiants se plaignetn|
36116345197677011848644160677746093188,1,1,|Un certain nombre d'étudiants se plaigne|
36116345197677011848644160677746093188,2,1,|Un certain nombre d'étudiants se plaignent du coup de la vie étudiante.|

36116398280545896405750348352192818308,2,2,|Le prix des transports en fait partie.|

36116399865109146691037100223071825028,2,3,"|Bus, TGV, métro, voi|"
36116399865109146691037100223071825028,3,3,"|Bus, TGV, métro,|"
36116399865109146691037100223071825028,4,3,"|Bus, TGV, métro, tous ces moyens de transports sont payants dans la majorité des villes.|"

36116601896923558065097963760145181828,6,4,|Po|

36116688255620698613225940723051048068,8,4,|Mais pourrait-on envisager de rendre ces transports gratuits pour les étudiants |
36116688255620698613225940723051048068,9,4,|Mais pourrait-on envisager de rendre ces transports gratuits pour le|
36116688255620698613225940723051048068,10,4,|Mais pourrait-on envisager de rendre ces transports gratuits pour les étudiants ?|

36116947331712120257609871611768646788,10,5,"|Premièrement, si|"
36116947331712120257609871611768646788,11,5,"|Premièrement, |"
36116947331712120257609871611768646788,12,5,"|Premièrement, les transports dépendent |"
36116947331712120257609871611768646788,13,5,"|Premièrement, l|"
36116947331712120257609871611768646788,14,5,"|Premièrement, la qualité des transports peut sembler dépendre de|"
36116947331712120257609871611768646788,15,5,"|Premièrement, la qualité des transports peut sembler dépendre d|"
36116947331712120257609871611768646788,16,5,"|Premièrement, la qualité des transports peut sembler dépendre de le|"
36116947331712120257609871611768646788,17,5,"|Premièrement, la qualité des transports peut sembler dépendre de l|"
36116947331712120257609871611768646788,18,5,"|Premièrement, la qualité des transports peut sembler dépendre de leur prix et du nombre de personnes qui l'utilisent.|"

36118533479525655829648494361654373508,18,6,|A|

36119079361565379110934513879472188548,20,6,|Â|

36119870058627271469023697448096541828,22,6,|A titre d'exemple;|
36119870058627271469023697448096541828,23,6,|A titre d'exemple|
36119870058627271469023697448096541828,24,6,"|A titre d'exemple, le re|"
36119870058627271469023697448096541828,25,6,"|A titre d'exemple, le r|"
36119870058627271469023697448096541828,26,6,"|A titre d'exemple, le réseau de bus de po|"
36119870058627271469023697448096541828,27,6,"|A titre d'exemple, le réseau de bus de |"
36119870058627271469023697448096541828,28,6,"|A titre d'exemple, le réseau de bus de Poitiers n'est pas |"
36119870058627271469023697448096541828,29,6,"|A titre d'exemple, le réseau de bus de Poitiers |"
36119870058627271469023697448096541828,30,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, e|"
36119870058627271469023697448096541828,31,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, |"
36119870058627271469023697448096541828,32,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilli|"
36119870058627271469023697448096541828,33,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très util|"
36119870058627271469023697448096541828,34,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais reste très|"
36119870058627271469023697448096541828,35,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais |"
36119870058627271469023697448096541828,36,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais facilite énormement la vie des étudiants, de par les zones désservies, la ffr|"
36119870058627271469023697448096541828,37,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais facilite énormement la vie des étudiants, de par les zones désservies, la f|"
36119870058627271469023697448096541828,38,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais facilite énormement la vie des étudiants, de par les zones désservies, la fréquence de passage des bus sur les lignes le |"
36119870058627271469023697448096541828,39,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais facilite énormement la vie des étudiants, de par les zones désservies, la fréquence de passage des bus sur les lignes le|"
36119870058627271469023697448096541828,40,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais facilite énormement la vie des étudiants, de par les zones désservies, la fréquence de passage des bus sur les lignes les plus fréquentées, mais aussi la qualité des équipements dans le |"
36119870058627271469023697448096541828,41,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais facilite énormement la vie des étudiants, de par les zones désservies, la fréquence de passage des bus sur les lignes les plus fréquentées, mais aussi la qualité des équipements dans le|"
36119870058627271469023697448096541828,42,6,"|A titre d'exemple, le réseau de bus de Poitiers est payant, très utilisé, mais facilite énormement la vie des étudiants, de par les zones désservies, la fréquence de passage des bus sur les lignes les plus fréquentées, mais aussi la qualité des équipements dans les bus.|"

36136652168011042941012761927656713348,46,7,|p|

36137788299861497491613853347904531588,48,7,"|Poitiers étant une grande ville, il semble normal que le |"
36137788299861497491613853347904531588,49,7,"|Poitiers étant une grande ville, il semble normal que le|"
36137788299861497491613853347904531588,50,7,"|Poitiers étant une grande ville, il semble normal que les bu|"
36137788299861497491613853347904531588,51,7,|Poitiers étant une grande ville|
36137788299861497491613853347904531588,52,7,|Poitiers étant une grande ville composée d'a|
36137788299861497491613853347904531588,53,7,|Poitiers étant une grande ville composée d'|
36137788299861497491613853347904531588,54,7,|Poitiers étant une grande ville composée d'un tiers |
36137788299861497491613853347904531588,55,7,|Poitiers étant une grande ville |
36137788299861497491613853347904531588,56,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisée,|"
36137788299861497491613853347904531588,57,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé|"
36137788299861497491613853347904531588,58,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, et|"
36137788299861497491613853347904531588,59,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé|"
36137788299861497491613853347904531588,60,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé et qu'il nécessite |"
36137788299861497491613853347904531588,61,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé|"
36137788299861497491613853347904531588,62,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé.|"
36137788299861497491613853347904531588,67,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, abiss.|"
36137788299861497491613853347904531588,68,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, ab.|"
36137788299861497491613853347904531588,69,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, abaissa.|"
36137788299861497491613853347904531588,70,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, .|"
36137788299861497491613853347904531588,71,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, tout en proposant des tarifs et abonnements tout.|"
36137788299861497491613853347904531588,72,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, tout en proposant des tarifs et abonnements tou.|"
36137788299861497491613853347904531588,73,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, tout en proposant des tarifs et abonnements tout a.|"
36137788299861497491613853347904531588,74,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, tout en proposant des tarifs et abonnements tout.|"
36137788299861497491613853347904531588,75,7,"|Poitiers étant une grande ville dont la population est composée d'environ un tiers d'étudiants, il semble normal que ce réseau de bus soit très utilisé, tout en proposant des tarifs et abonnements tout à fait corrects.|"

36160625025424609044281816456149380228,64,8,|D|

36164280612843017200818382574017883268,66,8,"|Si l'on prend une ville de moins grande envergure, les|"
36164280612843017200818382574017883268,76,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils desserve|"
36164280612843017200818382574017883268,77,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils d|"
36164280612843017200818382574017883268,78,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils désservent que par leurs fréquences de passsage|"
36164280612843017200818382574017883268,79,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils désservent que par leurs fréquences de passage|"
36164280612843017200818382574017883268,80,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils désservent que par leurs fréquences de passage.|"
36164280612843017200818382574017883268,81,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils désservent que par leurs fréquences de passage|"
36164280612843017200818382574017883268,82,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils désservent que par leurs fréquences de passage, et leur prix est souvent plus élevé.|"
36164280612843017200818382574017883268,83,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils désservent que par leurs fréquences de passage, et leur prix est souvent plus élevé|"
36164280612843017200818382574017883268,84,8,"|Si l'on prend une ville de moins grande envergure, les bus sont souvent de moins bonne qualité, tant par les zones qu'ils désservent que par leurs fréquences de passage, et leur prix est souvent plus élevé, car moins fréquenté|"
