tpsf_id,text_units_list,no_text_units
0,SEC,1
1,SEC,1
2,SEC,1
3,SEC,1
4,SEC,1
5,SEC,1
6,SEC,1
7,SEC,1
8,SEC,1
9,SEC,1
10,SEC,1
11,SEC,1
12,SEC,1
13,SEC,1
14,SEC,1
15,SEC,1
16,SEC,1
17,SEC,1
18,SEC,1
19,SEC,1
20,SEC,1
21,SEC,1
22,SEC,1
23,SEC,1
24,SEC,1
25,SEC,1
26,SEC,1
27,SEC,1
28,SEC,1
29,SEC,1
30,SEC,1
31,SEC,1
32,SEC,1
33,SEC,1
34,SEC,1
35,SEC,1
36,SEC,1
37,SEN,1
38,SEN,1
39,SEN,1
40,SEN,1
41,SEN,1
42,SEN-SIN-SEC,3
43,SEN-SIN-SEC,3
44,SEN-SIN-SEN,3
45,SEN-SIN-SEN,3
