tpsf_id,text_units_list,no_text_units
0,SEC,1
1,SEC,1
2,SEC,1
3,SEC,1
4,SEC,1
5,SEC,1
6,SEC,1
7,SEC,1
8,SEC,1
9,SEC,1
10,SEN-SIN-SEN-SIN-SEC,5
11,SEN-SIN-SEN-SIN-SEC,5
12,SEN-SIN-SEN-SIN-SEC,5
13,SEN-SIN-SEN-SIN-SEC,5
14,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
15,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
16,SEN-SIN-SEN-SIN-SEN-SIN-SEN,7
17,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
18,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
19,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
20,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
21,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
22,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
23,SEN-SIN-SEN-SIN-SEN-SIN-SEC,7
24,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC-PIN-SEC,11
25,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,8
26,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,9
27,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,9
28,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
29,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,11
30,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
31,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,13
