tpsf_id,text_units_list,no_text_units
0,SEC,1
1,SEC,1
2,SEC,1
3,SEC,1
4,SEC,1
5,SEC,1
6,SEN-SIN-SEN-SIN-PIN-SEC,6
7,SEN-SIN-SEN-SIN-PIN-SEC,6
8,SEN-SIN-SEN-SIN-PIN-SEC,6
9,SEN-SIN-SEN-SIN-PIN-SEC,6
10,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEC,8
11,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEC,8
12,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEC,8
13,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEC,8
14,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEC,8
15,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEC,8
16,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEC,10
17,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEC,10
18,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEC,10
19,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEC,10
20,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEC,10
21,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEC,10
22,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,12
23,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,12
24,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,12
25,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,12
26,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,12
27,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,12
28,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
29,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
30,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
31,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
32,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
33,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
34,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
35,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
36,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
37,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
38,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
39,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC,15
40,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEC,17
41,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN,16
